filter_id,source_sheet,iqr_lower,iqr_upper,iqr_outlier_count,iqr_outlier_ratio,per_min,per_max,top_low_values,top_high_values
A1,A_1,55.160982166793985,131.2903223645688,408,0.03929878636100944,38.6385107329374,140.370353586497,38.6385; 38.6962; 38.7025,133.0033; 136.0624; 140.3704
A10,A_10,16.30619239281362,179.36315003855742,5,0.00048243921265920495,26.4309793605295,180.0,180.0000; 180.0000; 180.0000,180.0000; 180.0000; 180.0000
A2,A_2,38.90503638675585,110.02432341559569,38,0.0035451068196660136,28.0564208372709,121.718689733117,28.0564; 31.2267; 33.5780,112.3690; 121.1972; 121.7187
A3,A_3,48.72807984162138,136.01433769639755,11,0.0009555246699096595,51.501996929975,154.568830938815,141.1515; 143.1937; 145.0857,150.1315; 152.0911; 154.5688
A4,A_4,50.53272511927419,136.01267115073068,779,0.06936776491540517,31.5564611640717,143.747564348607,31.5565; 33.3485; 35.4878,138.6484; 139.9641; 143.7476
A5,A_5,56.00631782547582,137.67853144635052,921,0.07869104579630895,34.5337866077768,149.81116766406,34.5338; 35.8719; 36.0783,140.3885; 143.8714; 149.8112
A6,A_6,8.89768451876217,139.9602396172905,3,0.00026445698166431596,28.646090817474,155.921773856801,147.4456; 153.4237; 155.9218,147.4456; 153.4237; 155.9218
A7,A_7,62.97097689001251,120.33486105182968,652,0.05659722222222222,39.40537368734,158.571024616352,39.4054; 39.4211; 39.6476,133.6316; 137.7509; 158.5710
A8,A_8,49.838799960933265,141.37629384667684,88,0.007935792226530796,37.6306352761806,165.146955934656,37.6306; 44.2081; 44.8551,151.4484; 160.3473; 165.1470
A9,A_9,46.379700794597234,118.83489048540946,7,0.000650074294205052,44.1879616843416,139.389191501083,44.1880; 119.1263; 121.0470,124.0054; 133.2819; 139.3892
